job_title,company_name,company_address,estimated_salary_usd,work_hour,city,state,zipcode,work_type,latitude,longitude
BI Developer/Data Engineer (Full-Time Remote),BAE Systems,"Remote in Boston, MA 02123", 102K - 129K a year,full-time,Boston,MA,02123,Remote,42.3554334,-71.060511
Data Security Engineer,Lam Research,"Fremont, CA","101,000 - 220,000 a year",unknown,Fremont,CA,unknown,On site,37.5482697,-121.988571
Data Engineer,"Otter Products, LLC","Remote in Fort Collins, CO 80521","From 85,000 a year",full-time,Fort Collins,CO,80521,Remote,40.5508527,-105.0668085
Data Engineer,Doxy.me Telemedicine,"Remote in Charleston, SC", 91.1K - 115K a year,full-time,Charleston,SC,unknown,Remote,32.7884363,-79.9399309
Data Engineer 2,UNCOMN,"Scott AFB, IL 62225", 86.5K - 110K a year,full-time,Scott AFB,IL,62225,On site,38.541616000000005,-89.85196354520372
"Data Engineer, E-Commerce",TikTok,"San Jose, CA","136,000 - 280,000 a year",unknown,San Jose,CA,unknown,On site,37.3361663,-121.890591
Data Engineer,DUOPEAK,"Menlo Park, CA", 128K - 163K a year,full-time,Menlo Park,CA,unknown,On site,37.4519671,-122.177992
Sr. ETL DEV/Data Engineer,Gold Coast Health Plan,"Camarillo, CA 93010","95,625 - 159,375 a year",full-time,Camarillo,CA,93010,On site,34.2176371,-119.0383541
"Data QA Engineer – Remote, North Carolina",Universal Music Group,Remote in North Carolina,unknown,full-time,unknown,NC,unknown,Remote,unknown,unknown
Data / Composition Engineer,HC3,"Remote in Birmingham, AL 35210", 68.2K - 86.4K a year,full-time,Birmingham,AL,35210,Remote,52.4796992,-1.9026911
Ab Initio Data Engineer,"The Travelers Companies, Inc.","Saint Paul, MN 55127","102,600 - 169,200 a year",full-time,Saint Paul,MN,55127,On site,44.9497487,-93.0931028
SQL Data Engineer,Iron Systems,"Remote in New York, NY", 91.7K - 116K a year,unknown,New York,NY,unknown,Remote,40.7127281,-74.0060152
Data Engineer II (Data Analytics Specialist),Match Inc,"Austin, TX 78727",51 - 56 an hour,contract,Austin,TX,78727,On site,30.2711286,-97.7436995
Product Data Engineer,uStudio,"Austin, TX", 99.4K - 126K a year,unknown,Austin,TX,unknown,On site,30.2711286,-97.7436995
Sr. Data Engineer,Dr. Squatch,"Marina del Rey, CA","120,000 - 160,000 a year",full-time,Marina del Rey,CA,unknown,On site,33.9776848,-118.448647
Data Center Hardware Support Engineer ( Linux ),"Valintry Services, LLC","Briarcliff Manor, NY","100,000 - 140,000 a year",unknown,Briarcliff Manor,NY,unknown,On site,41.1456512,-73.8237456
Data Engineer,Zoox,"Foster City, CA","143,000 - 300,000 a year",full-time,Foster City,CA,unknown,On site,37.5600336,-122.2688522
Data Engineer,Centriam,"Minneapolis, MN 55447", 96.2K - 122K a year,unknown,Minneapolis,MN,55447,On site,44.9772995,-93.2654692
Staff Data Platform Engineer,Adobe,"San Jose, CA 95110 (Downtown area)","146,400 - 275,000 a year",full-time,San Jose,CA,95110,On site,37.3361663,-121.890591
Data Engineer II,"BlueLabs Analytics, Inc.","Remote in Washington, DC","95,000 - 120,000 a year",unknown,"Washington, DC",DC,unknown,Remote,38.8950368,-77.0365427
